Name of the company,Location,Listed,Products,Revenue ,EBITDA (IN MILLIONS),Website
ARAYMOND INDIA PRIVATE LIMITED,PUNE,NO,,,,https://www.araymond-mobility.com/en/node/227
ARB BEARINGS,,,,,,
ARB BEARINGS LTD,DELHI,NO,"taper roller bearings, spherical roller bearings, self aligning ball bearings, deep groove ball bearings, spherical thrust bearings, angular contact and double row bearings, special bearings, double row taper rollers, cylindrical roller bearings, needle cage bearings, king pin bearings and single direction thrust bearings",2611.78 (2023),351.52 (2023),http://www.arb-bearings.com/
ARC INDUSTRIES,OVERSEAS,NO,,,,https://www.arcindustries.co/contact
ARGL LTD,GURGAON,NO,flywheel assemblies for automobile engines and stationary engines.,2391.72 (2023),611.13 (2023),http://arglltd.com/
ARIAN ENTERPRISES,,,,,,
ARKTRON ELECTRONICS,,,,,,
AROMA ENGINEERING (INDIA) PVT. LTD.,GUJARAT,NO,ENGINE PARTS,,,https://www.aromaeng.com/about
ARUN ASSOCIATES,,,,,,
ARVIND NENE,,,,,,
ASCO (AUTO SUSPENSION PARTS CO.),LUDHIANA,NO,CHASIS,,,https://autosuspensionparts.in/contact-us/
ASHAR LOCKEYS PRIVATE LIMITED,,,,,,
ASK AUTOMOTIVE LIMITED,GURGAON,YES,"friction products, brake lining, disc brake pad, brake shoe, brake assemblies, brake linings, clutch plates and shoe, aluminium die casting, panels, hubs, crank case, safety control cables, engine parts, aluminium light weight precision solutions, choke, brake, clutch, throttle, speedometer, fuel, and seat lock cables grip etc.",29264.33 (2024),3070.86 (2024),https://askbrake.com/
ASM CASTINGS PVT LTD,,,,,,
ASP SEALING PRODUCTS LTD,DELHI,NO,"mechanical seals, grafoil, gasket material, cut gaskets and o rings. Its products include mechanical seals, pump packing, valve packing, hydraulic seals, tadpole tapes, silica tapes, v packing and radial lip seals.",899.97 (2019),69.29 (2019),
ASPEE SONS,,,,,,
ASPEE SPRINGS LIMITED,DELHI,NO,"Its products includes circlips, thurst washers, precision steel components, forged manufactured parts and bushes.",10.20 (2023),1.03 (2023),
ASSURER AUTO PARTS,DELHI,NO,,,,https://www.weassurer.com/contact-us/
ASTONISH,,,,,,
ASVA INDUSTRIES,,,,,,
ATOP FASTENERS PRIVATE LIMITED,PUNJAB,NO,,,,
ATS ELGI LTD.,TAMIL NADU,NO,"Its products include lifting equipment, wheel service equipment, diagnostic equipment, lube equipment, body shop equipment, fume exhaust extraction system, washing equipment and pneumatic tools.",2623.73 (2024),319.95 (2024),
AUDIO BEAST INDIA PRIVATE LIMITED,,,,,,
AUDIOVID AUTO ACCESSORIES CO.,,,,,,
AUM DACRO COATINGS,,,,,,
AUTEL INDIA,,,,,,
AUTISH AGRO EXPORTS,,,,,,
AUTO ASIA,,,,,,
AUTO BHARTI,,,,,,
AUTO COMPONENTS INDIA MAGAZINE + COMMERCIAL,,,,,,
VEHICLE(CV) MAGAZINE,,,,,,
AUTO CONNECT,,,,,,
AUTO CONNECTIONS,,,,,,
AUTO FLOW,,,,,,
AUTO IGNITION LTD.,HARYANA,NO,"heavy-duty auto electric components for commercial vehicles, tractors, off-road vehicles, stationary engines and two-three Wheelers. Its products include starter motors, armatures, solenoid switches, drives, alternators, rotors, stators, generators, ignition coils, dynastarts and voltage regulators.",4171.73 (2023),503.83 (2023),http://www.autolek.com/
AUTO MAX INDIA,,,,,,
AUTO PARK,,,,,,
AUTO PINS (INDIA) LIMITED,HARYANA,YES,leaf and parabolic springs for automobiles. Its products include big and small leaf springs and mercedes. It also provide U bolts under the sirocco name.,645.95 (2024),29.83 (2024),https://www.autopinsindia.com/
AUTO RDX GLOBAL E-RETAIL PVT LTD,,,,,,
AUTO STAGES TECHNOLOGES,,,,,,
AUTO STEELS,,,,,,https://autosteels.com/about-us/
AUTOBITNEX EMBEDDED TECHNOLOGIES PRIVATE LIMITED,,,,,,
AUTOCAR PROFESSIONAL,,,,,,
AUTOFIELD INDIA,,,,,,
AUTOLEK ELECTRIC PVT. LTD.,HARYANA,NO,"heavy-duty auto electric components for commercial vehicles, tractors, off-road vehicles, stationary engines and two-three Wheelers. Its products include starter motors, armatures, solenoid switches, drives, alternators, rotors, stators, generators, ignition coils, dynastarts and voltage regulators.",4171.73 (2023),503.83 (2023),https://www.autolek.com/contact/
AUTOLOGY INDIA,,,,,,
AUTOMOBILITY SERVICES AND SOLUTIONS PRIVATE LIMITED,BANGLORE,NO,"heavy commercial, light commercial, car, utility, tractor and three wheeler vehicles and non-automotive segment consists of industrial technology, consumer goods, energy and building technology. It also manufactures and trades diesel and gasoline fuel injection systems, automotive aftermarket products, auto electricals, special purpose and packaging machines, electric power tools, security systems, solar energy and thermo technology.",610.12 (2024),-1149.23,BOSCH AQUIRED
AUTOMOTIVE INDIA,,,,,,
AUTOMOTIVE SKILLS DEVELOPMENT COUNCIL,,,,,,
AUTOMOTIVE STAMPING AND ASSEMBLIES LIMITED,,,,,,
AUTOMOTIVE VALVES PVT. LTD,GUJARAT,NO,"engine valves for automobiles, tractors, cars, heavy trucks, jeeps, earthmoving and stationary engine.",459.01 (2022),129.01 (2022),https://enginevalves.net/
AUTOMOUNT INDUSTRIES LLP,MAHARASHTRA,NO,ELECTRONIC SPARE PARTS,,,https://automount.in/index.php
AUTONEXT INDUSTRIES,,,,,,
AUTONICS MACHINES INDIA PRIVATE LIMITED,,,,,,
AUTOTECH SIRMAX INDIA PVT LTD,,,,,,
"AUTOTOP CO.,LTD.",OVERSEAS,,,,,
AUTOWAYS POLYMERS INDUSTRIERS,GHAZIABAD,NO,"glow plug, ignition coil, ignition wires sets and steel metal. It also offer rubber product such as engine mounting, coil pads, stab links bushes, strut plates etc.",,,https://autowaysindia.com/
AVR VALVES PVT. LTD.,GUJARAT,NO,"valve guides, valve seats for various applications like petrol and diesel, light and heavy duty, automotive, marine and earthmoving equipment.",10.01 (2021),5.58 (2021),https://www.vikramvalves.com/
AVTEC LTD,DELHI,NO,"crank shaft, cylinder blocks, camshaft, precision engineered large housings and parts, gears and housings. It caters to industries such as automotive, off-highway, defense, agriculture, railway etc.",3518.18 (2023),405.16 (2023),http://www.avtec.in/
AXESS ULTRASONICS PVT LTD,,,,,,
AXIS ELECTRONICS,,,,,,
AXLES INDIA,CHENNAI,NO,"drive axle housings, trailer axle beams, hub reduction axle housings for medium and heavy-duty commercial vehicles.",8538.80 (2024),1302.30 (2024),http://www.axlesindia.com/
BACHAN PARKASH TRADING COMPANY LLP,,,,,,
BAJAJ AUTOTRONIX INDIA PVT LTD,,,,,,
BAJAJ COMMUNICATIONS PVT LTD,,,,,,
BAJAJ MOTORS LIMITED,GURUGRAM,NO,"computer numerical control grinders, super finishing machines, assembly items, hot and warm forgings, tool and dies making equipment, liquid nitriding, sealed quench furnace, induction hardening machines, casting, etc.",6640.97 (2023),495.05 (2023),https://www.bajajmotors.com/
BALAJI PRECISION COMPONENTS PRIVATE LIMITED,SONIPAT,NO,,,,https://balajiforge.in/
