Name of the company,Location,Listed,Products,Revenue ,EBITDA (IN MILLIONS),Website
JASMEHER INTERNATIONAL,,,,,,
JAYEM AUTO INDUSTRIES PRIVATE LIMITED,HARYANA,NO,"automotive gaskets, cylinder head gaskets, exhaust manifold gaskets, exhaust gaskets, speciality gaskets, oil sump gaskets, moulded rubber parts, rubber hoses and industrial gaskets.",1025.94 (2024),101.13 (2024),http://jayemindustries.com/
"JBNI CO., LTD",OVERSEAS,,,,,
JD INDUSTRIES,BENGALURU,NO,Manufacturing & Supply of Precision Machined Components,,,https://www.jdindustriesindia.in/contact.php
JD INTERNATIONAL,,,,,,
JINDAL RECTIFIERS,,,,,,
JIOMEX AUTO INDIA LTD,BENGALURU,NO,"Automobile dashboard, automobile pipes, automobile springs etc.",,,
JK FENNER (INDIA) LIMITED,CHENNAI,NO,"belts, pulleys, couplings, variable speed drives, clutches and gear boxes.",13009.40 (2024),2898.12 (2024),https://jkfenner.com/
JK LAKSHMI,,,,,,
JK PAPER,,,,,,
JK TYRES,DELHI,YES,"passenger car tyre, commercial tyre for truck and buses, farm tyre, three wheeler tyre and off the road tyres.",103132.70 (2024),13.972.20 (2024),https://www.jktyre.com/
JKS EXPORTS,DELHI,NO," Automotive Bushings, Center Bearings, Round Oil Seals, Actros Shock Absorbers, Engine Mounts, Engine Flanges, etc. ",,,https://www.autogorilla.com/company/jks-exports/about-us
JL AUDIO/ SUPREME AUDIOTEK PVT LTD,,,,,,
JMC INDUSTRIES,,,,,,
JNI,,,,,,
JOLLY CLAMPS PVT LTD,MUMBAI,NO,"Automotive-especially heavy-duty truck clamps, Construction, Agriculture irrigation, farm equipment, Filtration, Food & Beverages, Oil and Gas, Off Road vehicles, Renewable energy",,,https://jollyclamps.com/
JOLSTR INDUSTRIES PVT LTD,PUNE,NO,"felts and EPE foams—are applied in the automotive industry for interior components of vehicles, insulation, and noise reduction",,,https://www.jolstr.com/about/
JOONG WON INDUSTRIAL CO„LTD.,OVERSEAS,,,,,
JOPASU INDIA PRIVATE LIMITED,,,,,,
JRB ENGINEERING & COMPANY,GUJARAT,NO,Valve Seat Inserts,,,https://jrbengcompany.com/
JSG INNOTECH PRIVATE LIMITED,HARYANA,NO,"plastic molding, chrome plating on plastics, stainless steel stamping, foot mats, door visor, door guard, air freshener, foot rest etc.",5859.84 (2024),1402.76 (2024),https://jsginnotech.com/
JUNE HEUNG FILTER CO„LTD,OVERSEAS,,,,,
JVR FORGINGS PVT. LTD,LUDHIANA,NO," Its offer precision forged, pressed steel, machined components, tractor part scaffolding, framework, fabricated and casted component.",1010.80 (2023),5.82 (2023),https://www.jvrforgings.in/
K. K. NAG PVT. LTD,PUNE,NO,"expanded polypropylene (EPP), other foamed plastics, rotational molding, polyurethane (PU) foaming, other plastic processes, engineering support division, waste treatment, etc. It caters to the requirements of pharmaceutical, agriculture, marine, construction sectors.",3169.32 (2023),240.01 (2023),https://kknag.com/
K.K. INDUSTRIES,,,,,,
K2B LEARNING PVT.LTD,,,,,,
KACH MOTORS PVT. LTD.,MADHYA PRADESH,NO,"high tensile u bolts, rails, kingpins, suspension shackle pins, cotter pins, studs, shaft components, joint propeller shaft and companion flanges, spacers, levers and shift finger, machined forgings and miscellaneous components, assemblies, shifter forks and jaws spindle, forging and assembly, threaded bush and threaded shackle pins.",1185.23 (2023),138.64 (2023),https://www.kachmotors.com/
KALAPI TRACTOR SPARES PVT. LTD.,GUJARAT,NO,TRACTOR PARTS,,,https://kalapiauto.com/contact-us/
KAUKA INTERNATIONAL,,,,,,
KALSI ENGINEERING COMPANY,,,,,,
KALYAN DEFTECH LLP.,,,,,,https://kalyandeftech.com/
KALYAN ENGINEERING WORKS,,,,,,
KALYAN SALES LLP,,,,,,
KALYANI FORGE LIMITED,PUNE,YES," engine parts, chassis systems, turbo charger parts, transmission parts, axle parts and steering parts.",2367.87 (2024),177.34 (2024),https://kalyaniforge.com/
KAMAX AUTOMOTIVE INDIA PVT LTD,BENGALURU,NO,"connecting rod bolt, valve adjustment bolt, cardan shaft bolt, locating pin, straight knurl, spare tire holder, eccentric bolt, ball studs for stabilizers, seat fastening bolt, ball head bolt, long shank ball stud, etc.",32.11 (2023),6.19 (2023),https://www.kamax.com/en/story/kamax-goes-india/
KANERI ENTERPRISES,,,,,,
KANERI INDUSTRIES,MAHARASHTRA,NO,Disc Rotor & Flywheel Assembly manufacturers for automotive industry.,,,https://www.kaneriautoparts.com/about-us/
KARNAVATI CAR AIR CONDITIONERS PVT. LTD.,GUJARAT,NO,AUTO COOLING SYSTEMS,,,https://www.kcplauto.com/about.php
KASUYA GPP AUTO PRODUCTS,GHAZIABAD,NO,"push rod, rocker shaft assemblies, shaft and pins, castings, u-bolts and tappets.",,,https://www.gpp-india.com/contactus
KAVACH IMPEX,,,,,,
KAVIA ENGINEERING PRIVATE LIMITED,BANGALORE,NO,"cold formed, cnc machined parts, stampings, assemblies, wire forms, commercial tooling and special purpose machinery.",281.70 (2023),22.15 (2023),https://www.kavia.co.in/clients.html
KAVYA INTERNATIONAL,GUJARAT,NO,"Cylinder Liners & Sleeves, Chrome Steel Seeves, Liner Inserts, Valve Seat Inserts, Valve Guides, Engine Valve.",,,https://www.kavyainternational.com/about.php
KAVYANT EXIM,,,,,,
KESTRELL PRODUCTS PVT LTD,,,,,,
KEYCAREAUTOELECTRONICS PVT LTD,,,,,,
KHANDELWAL MOTORS,,,,,,
KHURANA INDUSTRIES,,,,,,
Kl MOBILITY SOLUTIONS PVT LTD,CHENNAI,NO,automobile aftermarket,,,https://kimobility.in/about-us.html
KIANOTEC INDUSTRIES LIMITED,,,,,,
KIGOTEK AUTOMOTRIZ PVT LTD,DELHI,NO,"Oil and fuel hose, assemblies, rubber hoses, hydraulic high, pressure hose, brake hose assemblies, polyamide or thermoplastic, tube assemblies, fabricated or metallic, tube or coolant pipes, fuel injection pipes etc.",70 (2023),3.40 (2023),https://www.kigotek.in/
KISWOK INDUSTRIES PRIVATE LIMITED,KOLKATA,NO,"manufacturing iron and steel products. It offers automotive, industrial, sanitary and agricultural casting. It also offers water work process system.",5673.77 (2024),843.02 (2024),https://www.kiswok.com/
KK LIGHTING INDIA PRIVATE LIMITED,HARYANA,NO,AUTOMOTIVE LIGHTING,710.18 (2023),58.71 (2023),https://www.kklights.com/our-clients/
KJL ORGANIC LIMITED,,,,,,
KJL PETROPLAST LIMITED,,,,,,
KJL PLASTICIZERS LIMITED,,,,,,
KJL POLYMERS & CHEMICALS LIMITED,,,,,,
KLUBER LUBRICATION INDIA,,,,,,
KMP AUTO PUMPS,,,,,,
KMP MANUFACTURING CO.,PUNJAB,NO,"water pumps for truck, car, tractor and earth mover.",,,https://www.kmpindia.com/about.html
KNL DRIVELINE PARTS PVT LTD,PUNJAB,NO," forged products - ring rollings, forged products - horizontal upsetter, forged products - drop hammer, machined products - transmission gear shafts crown wheels and pinion blanks, machined products hydraulic lift assembly parts, machined products - rear axle shaft and yoke shaft, bale spears and loader tines etc.",,,https://www.knldriveline.com/
KNY INTERNATIONAL,,,,,,
KOBRA AUTO MOTIVES,,,,,,
KOHLI AUTOMOBILES PVT LTD,DELHI,NO,"chassis shock absorber, cabin shock absorbers, trailor shock absorbers, ashok leyland u truck shock absorber, tata truck 3118 shock absorber and tata truck 4018 shock absorber.",149.05 (2022),16.97 (2022),http://www.kohliautomobiles.com/
KOHLI RUBBER MOULDS INDIA,HARYANA,NO," Automotive Engine Mounting, Aluminum Engine Mounting, Truck Engine Mounting, Cast Iron Engine Mounting, Engine Mounts, Center Bearings, Bushes, Rubber Mounts, Torque Rod Bushes, Rubber Bearings, O Rings and O Seals. ",,,https://kohlirubbermoulds.com/products.html
KOSEI MINDA ALUMINUM COMPANY PRIVATE LIMITED,,,,,,
KOSEI MINDA MOULD PRIVATE LIMITED,,,,,,
KOVA FASTENERS PRIVATE LIMITED,LUDHIANA,NO,"automotive fasteners, industrial fasteners, structural bolting, agricultural fasteners, road crash barrier fasteners, grade b7 studs, and special fasteners. It caters automotive and other industries. The company was founded in 1998 and is based in Ludhiana, Punjab. ",903.81 (2023),78.03 (2023),https://www.kovafasteners.com/
KRAECHER,,,,,,
KRUNAL INDUSTRIES,,,,,,
KUKREJA AUTO COMPONENTS PVT. LTD.,,,,,,
KUMAR PRECISION STAMPINGS PVT LTD,HARYANA,NO,"Kumar Precision Stampings Pvt. Ltd. is engaged in manufacturing of precision electrical stampings, die casted rotors. Its products include ceiling fans, table fans, coolers, mixer, inverters, stabilizers and more. It caters to home and industrial appliances, power products, pumps, automotive and motors/ generators. The company was founded in 1979 and is based in Jhajjar, Haryana with registered office in New Delhi. ",3933.48 (2023),259.76 (2023),http://www.kumarstamping.com/contact-us.htm
KUNAL AUTOTECH PVT LTD,DELHI,NO,ANANDSHREEJI GROUP,,,https://kunalautotech.com/contact-us/
KUSALAVA INTERNATIONAL LTD.,ANDHRA PRADESH,NO,"cylinder liners, aluminium block liners, piston rings, valve seats guides and centrifugal castings also exporting raw material, castings machined, forgings.",4016.38 (2023),423.07 (2023),http://kusalava.com/
KYODO YUSHI INDIA PVT. LTD.,OVERSEAS,,,,,
L.G. BALAKRISHNAN & BROS LIMITED,TAMIL NADU,YES,"automotive chains, sprockets, tensioners, belts, brake shoes, fine blanking, machined components, and wire drawing.",22310.43 (2024),4356.59 (2024),https://www.lgb.co.in/
LAARK WIRING HARNESS PVT LTD,PUNE,NO,WIRING HARNESS,,,https://www.laarkwiringharness.com/#ABOUT%20US
LAKHDATAR SHYAM INDUSTRIES PVT LTD,GHAZIABAD,NO,"Shifter Sleeve, Synchro Ring, Synchro Cone , Helical Gear, Engaging gear, Main drive shaft, Bevel Gear, Spider kits, UJ Cross kits, Assy. Clutch Release Bearing & Coupling Flange for HCV & LCV Vehicle.",,,https://lakhdatarshyam.com/about-us.html
LALBABA SEAMLESS TUBE PVT LTD,KOLKATA,NO,"carbon steel pipes and tubes, seamless structural tubes, boilers pipes and tubes and heat exchanger seamless pipes and tubes.",3395.89 (2023),351.89 (2023),https://www.lbstubes.com/
LAXMI METAL PRESSING WORKS PRIVATE LIMITED,MAHARASHTRA,NO,"cylinder head, muffler, 3wheeler body, windshield frame and assembly, muffler painting, roof structure and windshield painting for 4 wheeler and horn antenna, and testing etc.",2177 (2023),120 (2023),http://laxmigroup.net.in/
"LC SWITCH GEAR, UK",OVERSEAS,,,,,
"LEDLINK OPTICS,INC.",,,,,,
LHSS-MRP SILICONE HOSES PRIVATE LIMITED,OVERSEAS,,SILICON HOSE,,,https://www.lhss.co.uk/automotive/
"LIGHT SYSTEM TECHNICAL CENTRE, S.L. SPAIN", ,,,,,
LIVIN PRODUCTS PVL LTD.,,,,,,
LOTEX AUTO ACCESSORIES,,,,,,
"LOTUS AUTOMOTIVE, INC, USA",OVERSEAS,,,,,
LUCAS INDIAN SERVICE LTD,CHENNAI,NO,"  manufactures automotive products such as ignition coils and solenoid switches. It distributes LISPART auto parts and LUCAS automotive batteries. Its products include auto ancillaries, batteries, filters, lubricants.",7390.41 (2023),539.89 (2023),https://www.lucas-service.com/
LUCAS TVS,CHENNAI,NO,"starter, wiper, blower, and fan motors; and alternators, headlamps, dynamo regulators, dynamos, ignition coils, diesel fuel injections, fuel injection equipment, electronic ignition systems, and automotive lighting products.",29347.64 (2023),2117.33 (2023),https://www.lucas-tvs.com/contact-us/
DELPHI TVS,,,,,,
LUMAX ELECTRONICS PRIVATE LIMITED,DELHI,YES,"two-wheelers lighting, two-wheelers chassis, electrical and electronics components, gear shifters, intake system, integrated plastic modules, oxygen sensors, seat structures and mechanisms, telematics products, and services.",13345.73 (2024),1769.39 (2024),https://www.lumaxworld.in/
LUMINAZ SAFETY GLASS PVT LTD,MAHARASHTRA,NO,Automotive windshield glass. It caters to original equipment manufacturers.,4328.87 (2023),335.93 (2023),
LUMINEYE AUTOMOTIVE,DELHI,NO,AUTO LIGHTING,,,https://lumineyeautomotive.com/about-us/
LUTHRA INDUSTRIAL CORPORATION,AGRA,NO,"fly wheels, ring gears, brake rotors, brake drums, pressure plates, face plates, back plates, hubs, intermediate/thrust rings, customised casting components, etc.",,,https://www.flywheelassembly.com/
LUXPAL LAMPS PVTLTD.,,,,,,
LUXPAL MINIATURE BULB INDUSTRIES,,,,,,
M K AUTO CLUTCH CO.,DELHI,NO,"manufacturing and supplying of clutch plates, brake lining, brake shoes, disc brake pads, and clutch housings, etc.",,,https://www.mkautoindia.com/
M K LIDE AUTO CLUTCH INDUSTRIES (P) LTD,,,,,,https://www.mkautoindia.com/
M K LIDE AUTO CLUTCH INDUSTRIES PVT LTD,HARYANA,NO,2 and 3 wheeler wet clutch assembly and continuously variable transmission.,732.72 (2024),42.05 (2024),https://www.mkautoindia.com/
M/S AGR FOODS,,,,,,
M/S ARVIND INDUSTRIES,,,,,,
M/S CREATIVE TECHNOSPARES PVT. LTD,,,,,,
MAADHAV AUTOMOTIVE FASTNERS PVT LTD,GURUGRAM,NO,"machine screw, self tapping screw, special screw, bolts and control cable screw.",421.31 (2024),57.68 (2024),https://maadhavfasteners.in/
MACAS AUTOMOTIVE,HARYANA,NO,"clutch disc, button disc, diaphargm cover assembly, conventional cover assembly, lever kit, spring kit, pressure plate, flywheel assembly, brake lining, tractor brake linings and discs, asbestos jeep brake linings, clutch facing, brake pad and brake shoes.",,,https://macasautomotive.com/
MACHINO PLASTICS LIMITED,GURUGRAM,YES,"bumpers, Instrument Panels, Grills, fender, shield leg lower, panel side and cap clutch cover. The firm offers its products to auto mobile companies.",3377.39 (2024),261.22 (2024),https://machino.com/
MADRAS ENGINEERING INDUSTRIES PVT LTD,,,,,,
MAGNUM WONDERPLAST PVT. LTD,,,,,,
MAGOD LASER MACHINING PVT LTD„,,,,,,
MAHAVEER CAR ACESSORIES,,,,,,
MAHESHWARI AUTO AND GENERAL INDUSTRIES,,,,,,
MAHLE ENGINE COMPONENTS INDIA PRIVATE LIMITED,,,"oistons, cylinders liners, power cell units, piston pins, piston rings, valves, valve seat insets, valve guides, cam followers, cast, forged, composite camsharfts, valve actuation, bearings, thrust washers, flanged bearings and bushings.",,,https://www.mahle.com/en/about-mahle/locations/3353.jsp
MAHLE GMBH,,,,,,
MAINI PRECISION PRODUCTS LTD.,,,,,,
MAKINO AUTO INDUSTRIES PVTLTD,NOIDA,NO,"manufacturing and supplying automotive clutch assemblies, brake assemblies and components. Its products include multiplate wet clutch, fibro clutch, cvt & centrifugal clutch, brake shoe, linings and disc brake pads under the brand name MAKINO.",1335.70 (2023),101.96 (2023),http://makino.in/
MALHOTRA AUTOMOTIVE,,,,,,
MANDAP INTERNATIONAL PRIVATE LIMITED,DELHI,NO, seam weld and non-seam weld rim and cold rold section. The firm caters to the requirements of automobile sector.,71.17 (2019),17.77 (2019),https://www.mandaprims.com/
MANISH AUTO WORLD,,,,,,
MANMACHINE AUTOMOTIVE PVTLTD,,,,,,
MANMACHINE CAR CARE PVTLTD,,,,,,
MANMACHINE SOLUTIONS PVTLTD,,,,,,
MANMACHINE PVTLTD,,,,,,
MANU YANTRALAYA (P) LTD,,,,,,
MARATHWADA AUTO COMPO PRIVATE LIMITED,,,,,,
MARC BEARINGS PVT LTD,GUJARAT,NO,"tapered roller bearings, spherical roller bearings, cylindrical roller bearings, ball bearings. The company caters it services to the automobile industry, agricultural industry, industrial, power motors, appliances and host of other appliances.",385.04 (2023),20.36 (2023),https://www.marcbearings.com/
MARELLI TALBROS CHASSIS SYSTEMS PVT. LTD.,,,,,,
MARS FURNISHING INDIA PVTLTD,,,,,,
MASU BRAKES PVT LTD,DELHI,NO," transit blocks, transit lining, railway brake block, disc pads, disc brake pads, passenger vehicle pads and roll brake linings.",2062.64 (2023),223.95 (2023),http://www.masubrakes.com/
MATSUNO MOLD MFG. CO.LTD.,OVERSEAS,,,,,
MAXELL,,,,,,
MAXELL FRONTIER LTD.,,,,,,
MAXELL IZUMI LTD.,,,,,,
MAXELL KUREHA LTD.,,,,,,
MAYUR UNIQUOTERS LIMITED,,,,,,
MBL IMPEX PVTLTD,HYDERABAD,NO,"car scanners like launch xpad II, autologic car scanner, autologic assist plus, autohex car scanner, autologic, launch, ross-tech, durametric, bavarian car scanners, etc.; car air-conditioner machines; car lifts like 2 post lifts, four post lift, mid rise lift, car scissor lift, wheel alignment scissor lift, etc.; rotary lift; car washing equipment such as car washing lift, car washer, two stage air compressor, foam machine and vaccum cleaner; wheel alignment equipment; wheel balancer; tyre changer; wheel and automobile scanners; car driving simulator; general tools and equipments; fuel injector cleaner and tester; denting and painting equipments; vehicle sensor tester; and material handling equipments.",39.31 (2023),1.87 (2023),https://www.mblimpex.in/
MECH RING FORGE,,,,,,
MECWIN GREEN PROPULSIONS PVT LTD,BENGALURU,NO,"manufacturing of pumps and motors. Its offerings are hub motors, solar monoblock pumps, solar pump controllers, submersible pumps, etc.",621.30 (2024),84.28 (2024),https://mecwinindia.com/
MEDKAV TECHNOLOGIES.,,,,,,
MEENAKSHI POLYMERS PRIVATE LIMITED,,,,,,
MEGA AUDIO INTERNATIONAL PRIVATE LIMITED,,,,,,
MEGHDOOT PISTONS PRIVATE LIMITED,AGRA,NO," gudgeon pin, pistons, piston rings, cylinder blocks, and liners. Its piston products include forged, gravity dies cast, ni-resist, dual ni-resist, conventional composite and articulated (a forged steel crown with forged aluminium skirt) and gallery cooled. Its piston rings include plain compression, taper faced compression, keystone compression, half keystone compression, compression inside beveled, laminated steel segments. Its oil control rings include slotted oil control, double beveled slotted oil control, dua flex, nifflex etc. Its liner sleeves include dry liner and wet liner.",63.17 (2022),5.22 (2022),https://meghdootpistons.com/about
METALMAN AUTO LIMITED,DELHI,NO,"It serves oems across both automotive and non-automotive sectors, offering a comprehensive range of components, including chassis, structural parts, seating structures, and aesthetic components for consumer appliances.",,,
METALMEN MICRO TURNERS,,,,,,
METALS INDIA,,,,,,
METRIX AUTOCOMP PVT LTD,LUDHIANA,NO,AUTO PARTS,185.80 (2024),10.54 (2024),https://metrixauto.in/#contact
MI TORICA INDIA PRIVATE LIMITED,,,,,,
MIBA,,,,,,
MIBA AG,,,,,,
MICRON TURN RING,,,,,,
MILLENNIUM RING MFG. CO.,,,,,,
MINDA CORPORATION LIMITED,,,,,,
MINDA INDUSTRIES VIETNAM COMPANY LIMITED,,,,,,
MINDA KOREA CO. LTD,,,,,,
MINDA KOSEI ALUMINUM WHEEL PRIVATE LIMITED,,,,,,
MINDA ONKYO INDIA PRIVATE LIMITED,,,,,,
MINDA STORAGE BATTERIES PRIVATE LIMITED,,,,,,
MINDA WESTPORT TECHNOLOGIES LIMITED,,,,,,
MITIL POLYMER PRIVATE LIMITED,,,,,,
MITSUBA INDIA PRIVATE LIMITED,,,,,,
MITSUBISHI ELECTRIC AUTOMOTIVE INDIA PVT. LTD.,,,,,,
MITSUI CHEMICALS INDIA PVTLTD,,,,,,
MITTAL MOTORS,,,,,,
MIVIN ENGG.TECHNOLOGIES PRIVATE LIMITED.,,,,,,
MKAT AUTO LLP,,,,,,
MN AUTO PRODUCTS PRIVATE LIMITED,COIMBATORE,NO,"Buzzers, Decorative LED Lamps, Flashers, Melody Makers, Relays, Reverse horns, Wiring Harnesses, and much more.",,,https://www.supermnauto.com/about-us/
MODERN ELECTRONICS AND SERVICES,,,,,,
MODERN METALS INDIA LTD,,,,,,
MODERN TRADE INDIA,,,,,,
MOGLI LABS INDIA PVT.LTD.,,,,,,
MOHIT INTERNATIONAL,,,,,,
MOMENTIVE PERFORMANCE MATERIALS INDIA PVT LTD,,,,,,
MONARCH SELF-ADHESIVE TAPES & FOAMS (l) LTD,,,,,,
MOREL,,,,,,
MORIN AUTO PRIVATE LIMITED,GURUGRAM,NO,production and sales of automotive suspension system parts manufacturing enterprises.,,,https://morinauto.com/about-us/
MOTOR MAGAZINE,,,,,,
MOTORINDIA,,,,,,
MOTORINGTRENDS,,,,,,
MOWITO AUTOMATION PRIVATE LIMITED,,,,,,
MOZART INDIA PRIVATE LIMITED,,,,,,
MRP AUTORUB PRIVATE LIMITED,CHENNAI,NO,"manufacturing of moulded rubber components, valve stem seals, engine mountings, air intake hoses, radiator hoses and high temperature application silicone hoses.",418.75 (2024),33 (2024),https://www.mrpautorub.com/
MRP MDI RUBBER SOLUTIONS PRIVATE LIMITED,TAMIL NADU,NO,"manufacturing of all types of rubber molded components to domestic and global requirements. Its products include rubber components, molded hoses, bellows, O rings, gaskets, bushes, injector seals, rubber pads, rubber packaging, engine mountings and metal bonded components.",31.85 (2023),2.19 (2023),https://www.mrpautorub.com/
MRS BEARINGS PRIVATE LIMITED,GUJARAT,NO,Roller and Ball Bearings,,,https://www.mrsbearings.com/about.html
MSA VENTURE,,,,,,
MULTI CAR TECH PVT LTD,,,,,,
MULTI TRADE INT,GUJARAT,NO,CYLINDER LINERS AND SLEEVE,,,https://mtiengineparts.com/
MUNJAL AUTO INDUSTRIES,,,,,,
MUNJAL KIRIU INDUSTRIES PVT LTD,,,,,,
MUSHIN INNOVATION LABS,,,,,,
MVD AUTO COMPONENTS PRIVATE LIMITED,DELHI,NO,,297.41 (2023),44.79 (2023),https://mvdindia.com/profile.html
NABTESCO,,,,,,
NAHARS ENGINEERING INDIA PVT LTD,,,,,,
NANDAN PETROCHEM LIMITED,,,,,,
NAPINO AUTO & ELECTRONICS LTD,,,,,,
NAPINO CONTROL SYSTEMS LTD,,,,,,
NAPPINO CONTINENTAL VEHICLES ELECTRONICS LTD,,,,,,
NARAIN COOLING TECHNOLOGIES PRIVATE LIMITED,UTTAR PRADESH,NO,"Fin tube radiators, Microchannel condensers, and PTC heaters, etc. ",,,https://www.naraincooling.com/
NARANG AUTO INDIA PVT. LTD.,DELHI,NO,,,,
NATIONAL ENGINEERING INDUSTRIES LIMITED,,,,,,
NATROYAL INDUSTRIES,MUMBAI,NO,SEATS,1172.45 (2023),93.93 (2023),https://www.natroyalproducts.com/
NAVBAHART INDUSTRIAL CORPORATION,,,,,,
NAVRANG INTERNATIONAL PVT LTD,,,,,,
NAVSARI PVT LTD.,GUJARAT,NO,"manufactures brake fluid in asia and has diversified interest ranging from petrochemicals, automotive and industrial lubricants, hydraulic brake fluids, coolants and defend supplies.",,,http://swastikoil.com/
NAXATRA LABS,GUJARAT,NO,"manufacturing of motors. Its offerings are custom end-to-end solutions for powertrain requirements, and motors like antarix1, antarix2, antarix3, etc. It caters to e-vehicle and industrial equipment sectors.",0.33 (2023),0.06 (2023),
NBR COOLING SYSTEMS LTD,INDORE,NO,"manufacturing of engine radiators. Its products include radiator cores, coolant oil, coolant filler neck and radiator tubes",172.86 (2023),11.19 (2023),https://nbrradiator.com/
NEEJ AUTO,GUJARAT,NO,BRAKES,,,https://www.neejauto.com/
NEELGIRI MACHINERY,DELHI,NO," hand pallet trucks, granulator machines, linear displacement sensors, screw barrels, plastic scrap grinders, trigger spray bottle, plastic molding machines, injection molding machines, used injection moulding machines, hand pallet trucks, granulator machine hopper loaders, etc.",,,https://www.neelgirimachinery.co.in/
NEENA INDUSTRIES,,,,,,
NEO SYM,,,,,,
NEOLITE ZKW LIGHTINGS PVT LTD,,,,,,
NESH TECHNOLOGIES.,,,,,,
NETPLAST PVT. LIMITED,KANPUR,NO," injection molded, headlamps, molded foams, saddlery components, two wheeler seat assemblies, bus lights and accessories, mascots and logos, commercial vehicle seat assemblies, etc. It caters to the automotive sector, engineering industry, foam industry, packaging and saddler industry.",426.17 (2023),45.62 (2023),https://netplast.in/
NEW INDIA AUTO INDUSTRIES,AGRA,NO,"Flywheel, Brake Drums, Hub and Auto Component for Truck,Tractor, Trailer and other Vehicles using cutting edge technology.",,,https://www.newindiaauto.com/about-us.html
NEW STAR INDUSTRIES,LUDHIANA,NO,High Tensile Automotive and Industrial Fasteners,,,https://newstarinds.com/about/company_profile
NEW SWAN AUTOCOMP PVT LTD,LUDHIANA,NO,"door latches, braking systems, engine exhaust flanges, thrust washers, seat reclining adjusters, gear selector forks, assemblies of gear selector mechanisms and clutch controls, gears, sprockets, pressure plates, parking brake parts, door check parts, gear shifting mechanism, parking brake parts, steering system parts, engine parts, seat parts and gear box parts. ",650.45 (2023),42.92 (2023),https://www.swanindia.com/group-company
NEW SWAN ENTERPRISES,,,,,,
NEW SWAN MULTITECH,,,,,,
NEW SWAN TECHNOLOGIES,,,,,,
NEWTECH FILTER INDIA PRIVATE LIMITED,,,,,,
NICHIAS INDUSTRIAL PRODUCTS PVT.LTD.,OVERSEAS,,,,,
NIKAM IRON SINTERED PRODUCTS PVT LTD,MAHARASHTRA,NO,"sintered metal bushes, sintered bushes, metal motor bushes and motor sintered bronze bushes. ",79.93 (2023),11.06 (2023),https://www.nikamironsintered.com/
NILKANTH INDUSTRIES,GUJARAT,NO,"alloy casting, production, and distribution, specifically in manufacturing lightweight bearing bushes",,,https://www.nilkanthindustries.com/contact.php
NIPPON LEAKLESS TALBROS PVT. LTD.,,,,,,
NIROTECH INDUSTRIES PRIVATE LIMITED,,,,,,
NISHITA AUTO AGENCIES,,,,,,
NISSHINBO MECHATRONICS INC.,OVERSEAS,,,,,
NITTO DENKO INDIA PVT LTD,,,,,,
NORMA GROUP,,,,,,
NOVOFLEX INDUSTRIES PRIVATE LIMITED,KOLKATA,NO,"nylon cable ties, polyamide cable glands, stainless steel ties and bands, circuit board accessories and spacers, pilfer proof seals, cable clips and clamps, etc. It offer the products to automobiles, telecom, electronics, consumer durables industry, etc.",360.55 (2024,86.06 (2024),https://novoflex.in/
NPL BLUESKY AUTOMOTIVE PRIVATE LIMITED,,,,,,
NRB BEARINGS LIMITED,,,,,,
NRG CO.,,,,,,
NTF HOLDING PVT.LTD.,GURUGRAM,NO,"It offers original equipment manufacturing of engineering plastic and composite components for the automotive industry. It caters to automotive, agriculture and farm, commercial vehicles, locomotives, wind energy etc.",201.57 (2023),17.20 (2023),https://ntfholding.com/
NTF INDIA PRIVATE LIMITED,,,,,,
NTF SOUTH INDIA PVT.LTD.,,,,,,
NYSHA MOBILITYTECH PRIVATE LIMITED,BENGALURU,NO,"automotive, high temperature cables, general cables, optical fiber and ul wire and wire harness such as battery harness, motor harness, controller harness, full vehicle harness, pigtail harness, etc.",222.16 (2024),-34.61,https://www.nyshamobilitytech.com/about-us.aspx
OAM SAAI INTERNATIONAL INC,GHAZIABAD,NO,"manufacturer, exporter and supplier of auto parts, pester rings manufacturer of auto parts, piston rings exporter of piston rings and  auto parts.",,,https://www.cromepistonrings.com/
OEM UPDATE,,,,,,
OETIKER INDIA LTD,,,,,,
OHSAN FORMTECH PVT. LTD.,DELHI,NO,"wheel weights include clip-on weights and adhesive weights, etc.",90.37 (2023),4.28 (2023),http://www.ohsan.in/
OIL LUBE SYSTEMS PVT. LTD.,HARYANA,NO,"two post lift, dual scissor lift-hydraulic, rolling lift for body shop, scissor lift with power pack three wheeler, tools trolley, parts trolley, parts rack, heavy duty engine overhauling table, standard bike and scooter service lift, portable bike and scooter service lift, heavy duty bike lift, central stand, etc.",819.82 (2024),20.03 (2024),https://www.oillubesystems.com/contact-details.html
OILES INDIA PRIVATE LIMITED,,,,,,
OMFA RUBBERS LIMITED,NOIDA,NO,"v-belts, power transmission belts, raw edge v-belts, multi ribbed belts, synchronous belts, narrow v-belts, hexagonal belts and harvester combine v-belts.",624.08 (2023),103.46 (2023),https://www.omfarubbers.com/
OMX INDUSTRIES,,,,,,
ONICS RESISTORS PRIVATE LIMITED,DELHI,NO," manufacturer and exporter of RoHS complaint resistors, silicone coated and resistors, aluminium housed resistors, metal clad braking resistors, high power wire grid resistors, etc",,,https://powerresistor.in/
ORIGINAL WIPER INDIA,,,,,,
OROTEX CHEMICALS INDIA PVT. LTD,BANGALORE,NO,"We supply rubber & resin based noise insulators, multiple grades of butyl based anti-vibration pads and many more",,,https://www.orotex.in/about-us.php
